,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
0,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,25.0,152.34,a,466,18707,6663394
1,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,26.5,152.34,a,764,18707,6663394
2,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a,954,15251,316798
3,1,d,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.5,152.34,a,471,17102,7675217
4,1,d,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.0,152.34,a,657,13148,5003769
5,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.0,152.34,a,858,13148,5003769
6,0,gb,1.0,2.99,0.0,1,hc,1,0,2017,0.0,17.0,152.34,a,268,18707,6663394
7,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,20.5,152.34,a,62,17102,7675217
8,1,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,19.0,152.34,a,248,15882,1319291
9,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,19.5,152.34,a,882,14584,581078
10,0,f,1.0,10.99,0.0,0,yc,1,1,2017,0.0,20.5,152.34,a,289,14638,2399548
11,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,18.0,152.34,a,618,11589,8414240
12,0,gb,1.0,2.99,0.0,0,gc,1,0,2017,0.0,14.5,152.34,a,429,19195,2207776
13,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,14.0,152.34,a,240,17102,7675217
14,0,a,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.5,152.34,a,554,11589,8414240
15,0,de,1.0,10.99,0.0,0,gc,1,1,2017,6.25,13.0,152.34,a,200,17102,7675217
16,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,19.0,152.34,a,292,13148,5003769
