,sex,master_channel_a,master_channel_f,master_channel_d,master_channel_ps,master_channel_gb,master_channel_de,master_channel_g,master_channel_s,master_channel_e,master_channel_b,master_channel_dd,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain_gc,email_domain_hc,email_domain_yc,email_domain_he,email_domain_other,email_domain_ye,email_domain_lc,email_domain_mc,email_domain_ic,email_domain_ce,email_domain_oe,email_domain_ge,email_domain_oc,email_domain_ae,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month_a,reg_month_b,reg_month_c,reg_month_d,reg_month_e,reg_month_f,reg_month_g,reg_month_h,reg_month_i,reg_month_j,reg_month_k,reg_month_l,random,income_per_region,population_per_region
0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,25.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,466,18707,6663394
1,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,26.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,764,18707,6663394
2,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,954,15251,316798
3,1,0,0,1,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,13.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,471,17102,7675217
4,1,0,0,1,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,657,13148,5003769
5,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,14.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,858,13148,5003769
6,0,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,17.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,268,18707,6663394
7,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,20.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,62,17102,7675217
8,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,248,15882,1319291
9,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,19.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,882,14584,581078
10,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,20.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,289,14638,2399548
11,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,618,11589,8414240
12,0,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,14.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,429,19195,2207776
13,1,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,14.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,240,17102,7675217
14,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,13.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,554,11589,8414240
15,0,0,0,0,0,0,1,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,6.25,13.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,200,17102,7675217
16,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,292,13148,5003769
17,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1.75,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,201,17102,7675217
18,1,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,16.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,499,18707,6663394
19,0,0,0,0,0,0,0,0,1,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,11.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,350,14903,1022800
20,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,16.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,219,14584,581078
21,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.25,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,266,11818,1493898
22,1,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,14.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,285,18707,6663394
23,0,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.75,17.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,437,13621,2699499
24,0,0,0,0,0,0,0,0,0,1,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,21.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,295,17102,7675217
25,0,0,0,0,0,0,1,0,0,0,0,0,1,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,975,11589,8414240
26,1,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,553,18707,6663394
27,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,15.5,27.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,506,18707,6663394
28,0,0,0,1,0,0,0,0,0,0,0,0,1,20.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,3.25,11.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,880,18707,6663394
29,0,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,10.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,978,11310,1067710
