,province,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month
0,p2,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,25.0,152.34,a
1,p2,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,26.5,152.34,a
2,p16,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a
3,p3,1,d,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.5,152.34,a
4,p4,1,d,1.0,10.99,0.0,0,gc,1,1,2017,0.0,18.0,152.34,a
5,p4,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.0,152.34,a
6,p2,0,gb,1.0,2.99,0.0,1,hc,1,0,2017,0.0,17.0,152.34,a
7,p3,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,20.5,152.34,a
8,p9,1,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,19.0,152.34,a
9,p14,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,19.5,152.34,a
10,p5,0,f,1.0,10.99,0.0,0,yc,1,1,2017,0.0,20.5,152.34,a
11,p1,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,18.0,152.34,a
12,p8,0,gb,1.0,2.99,0.0,0,gc,1,0,2017,0.0,14.5,152.34,a
13,p3,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,14.0,152.34,a
14,p1,0,a,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.5,152.34,a
15,p3,0,de,1.0,10.99,0.0,0,gc,1,1,2017,6.25,13.0,152.34,a
16,p4,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,19.0,152.34,a
17,p3,0,g,1.0,0.0,0.0,0,gc,0,0,2017,1.75,15.5,152.34,a
18,p2,1,gb,1.0,2.99,0.0,1,hc,1,0,2017,0.0,16.0,152.34,a
19,p11,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,11.5,152.34,a
20,p14,1,a,1.0,10.99,0.0,0,gc,1,0,2017,0.0,16.0,152.34,a
21,p12,1,a,1.0,10.99,0.0,0,gc,1,1,2017,0.25,19.0,152.34,a
22,p2,1,gb,1.0,2.99,0.0,0,gc,1,1,2017,0.0,14.0,152.34,a
23,p6,0,gb,1.0,2.99,0.0,0,hc,1,1,2017,0.75,17.5,152.34,a
24,p3,0,e,1.0,10.99,0.0,1,hc,1,1,2017,21.0,15.5,152.34,a
25,p1,0,de,1.0,10.99,0.0,0,gc,1,1,2017,0.0,15.5,152.34,a
26,p2,1,a,1.0,10.99,0.0,0,hc,1,0,2017,0.0,15.5,152.34,a
27,p2,0,a,1.0,10.99,0.0,1,gc,1,1,2017,15.5,27.5,152.34,a
28,p2,0,d,1.0,20.99,0.0,1,gc,0,0,2017,3.25,11.0,152.34,a
29,p10,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a
30,p4,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a
31,p1,1,gb,1.0,2.99,0.0,1,gc,1,0,2017,0.0,12.0,152.34,a
32,p4,0,de,1.0,10.99,0.0,0,gc,1,1,2017,0.0,9.5,152.34,a
33,p4,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,36.5,152.34,a
34,p5,0,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,17.5,152.34,a
35,p2,1,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,17.0,152.34,a
36,p1,1,f,1.0,10.99,0.0,1,other,1,1,2017,0.0,22.0,152.34,a
37,p8,0,gb,1.0,2.99,0.0,0,gc,1,1,2017,0.0,12.0,152.34,a
38,p4,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.5,14.0,152.34,a
39,p1,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,18.0,152.34,a
40,p3,0,gb,1.0,2.99,0.0,0,gc,1,0,2017,0.0,11.5,152.34,a
41,p5,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,27.5,152.34,a
42,p4,0,f,1.0,10.99,0.0,0,he,1,0,2017,0.0,11.0,152.34,a
43,p3,0,a,1.0,10.99,0.0,0,gc,1,0,2017,0.0,18.0,152.34,a
44,p2,0,gb,1.0,2.99,0.0,0,gc,1,0,2017,0.0,12.5,152.34,a
45,p2,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,22.5,152.34,a
46,p4,0,a,1.0,10.99,0.0,1,hc,1,0,2017,0.0,17.5,152.34,a
47,p2,0,d,1.0,10.99,0.0,0,gc,1,1,2017,0.0,9.5,152.34,a
48,p3,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,26.5,152.34,a
49,p2,1,ps,1.0,10.99,0.0,0,other,1,1,2017,0.0,12.5,152.34,a
50,p4,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.0,152.34,a
51,p3,0,a,0.0,10.99,0.0,0,gc,1,1,2017,0.0,19.0,152.34,a
52,p1,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,17.5,152.34,a
53,p1,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,17.0,152.34,a
54,p1,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,17.5,152.34,a
55,p1,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a
57,p1,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,18.0,152.34,a
58,p1,0,f,1.0,10.99,0.0,1,hc,1,1,2017,0.0,18.0,152.34,a
59,p11,0,f,1.0,10.99,0.0,1,gc,1,0,2017,9.5,10.0,152.34,a
60,p3,1,ps,0.0,10.99,0.0,0,gc,1,1,2017,0.25,13.0,152.34,a
61,p1,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.5,152.34,a
62,p2,1,gb,1.0,2.99,0.0,1,gc,1,0,2017,0.0,13.0,152.34,a
63,p4,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,20.5,152.34,a
64,p1,0,f,1.0,10.99,0.0,1,ye,1,1,2017,0.0,19.5,152.34,a
65,p1,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,21.0,152.34,a
66,p12,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.0,152.34,a
67,p2,0,gb,1.0,2.99,0.0,0,hc,1,1,2017,8.25,18.0,152.34,a
68,p1,0,a,1.0,10.99,0.0,1,gc,1,1,2017,13.25,13.0,152.34,a
69,p2,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.5,152.34,a
70,p1,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,27.0,152.34,a
71,p3,1,f,1.0,10.99,0.0,1,other,1,1,2017,0.0,15.5,152.34,a
72,p1,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,19.0,152.34,a
73,p1,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,10.0,152.34,a
74,p4,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,16.5,152.34,a
75,p1,1,a,1.0,10.99,0.0,1,other,1,1,2017,0.0,26.5,152.34,a
76,p1,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a
77,p7,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,17.0,152.34,a
78,p13,1,gb,1.0,2.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a
79,p3,0,e,1.0,20.99,0.0,0,he,0,1,2017,0.0,23.0,152.34,a
80,p2,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,16.5,152.34,a
81,p4,0,e,1.0,10.99,0.0,0,other,1,1,2017,0.0,14.0,152.34,a
82,p16,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,19.0,152.34,a
83,p2,0,e,1.0,10.99,0.0,1,hc,1,0,2017,0.0,11.0,152.34,a
84,p5,0,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,12.5,152.34,a
85,p3,1,f,1.0,10.99,0.0,1,hc,1,1,2017,0.0,11.0,152.34,a
86,p2,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,19.0,152.34,a
87,p3,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,21.0,152.34,a
88,p7,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,35.5,152.34,a
89,p6,0,e,1.0,10.99,0.0,0,lc,1,1,2017,0.0,12.5,152.34,a
90,p7,0,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.0,152.34,a
91,p5,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,23.0,152.34,a
92,p11,0,e,0.0,10.99,0.0,0,hc,1,1,2017,0.0,32.0,152.34,a
93,p1,1,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,27.0,152.34,a
94,p2,1,f,1.0,10.99,0.0,1,he,1,0,2017,0.0,13.0,152.34,a
95,p14,0,g,1.0,0.0,0.0,1,gc,0,0,2017,0.0,20.5,152.34,a
96,p2,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a
97,p3,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.5,152.34,a
98,p1,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.5,152.34,a
99,p1,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,13.5,152.34,a
100,p10,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,20.0,152.34,a
101,p14,0,f,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a
102,p1,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,16.5,152.34,a
103,p1,0,d,1.0,20.99,0.0,0,hc,0,0,2017,0.0,13.5,152.34,a
104,p3,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,11.5,152.34,a
105,p2,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,28.0,152.34,a
106,p8,1,f,1.0,10.99,0.0,1,he,1,1,2017,0.25,13.5,152.34,a
107,p12,1,a,1.0,10.99,0.0,0,hc,1,1,2017,0.25,12.5,152.34,a
108,p9,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a
109,p6,1,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,16.0,152.34,a
110,p3,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,16.5,152.34,a
111,p3,1,e,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a
112,p1,0,e,0.0,20.99,0.0,0,gc,0,1,2017,0.25,16.5,152.34,a
113,p3,1,e,1.0,10.99,0.0,1,gc,1,1,2017,0.5,16.0,152.34,a
114,p4,1,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,30.5,152.34,a
115,p2,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,16.0,152.34,a
116,p4,1,f,1.0,10.99,0.0,0,hc,1,1,2017,0.0,13.5,152.34,a
117,p2,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,20.5,152.34,a
118,p4,1,f,1.0,10.99,0.0,1,hc,1,1,2017,0.5,14.0,152.34,a
119,p3,0,gb,1.0,2.99,0.0,1,hc,1,1,2017,0.25,14.0,152.34,a
120,p8,0,e,1.0,10.99,0.0,1,gc,1,1,2017,0.0,18.0,152.34,a
121,p4,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a
122,p3,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,10.5,152.34,a
123,p1,0,e,1.0,10.99,0.0,1,hc,1,0,2017,0.0,30.0,152.34,a
124,p1,1,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,14.0,152.34,a
125,p1,1,f,1.0,10.99,0.0,0,gc,1,0,2017,0.0,11.5,152.34,a
126,p3,0,f,1.0,10.99,0.0,0,he,1,1,2017,33.0,14.0,152.34,a
127,p10,1,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,13.0,152.34,a
128,p1,1,e,1.0,10.99,0.0,1,gc,1,1,2017,0.5,18.5,152.34,a
129,p5,0,a,1.0,10.99,0.0,1,gc,1,0,2017,4.0,16.5,152.34,a
130,p10,1,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,14.5,152.34,a
131,p3,0,e,1.0,10.99,0.0,0,gc,1,1,2017,24.25,27.0,152.34,a
132,p3,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,34.0,152.34,a
133,p4,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,13.0,152.34,a
134,p3,0,s,1.0,10.99,0.0,0,gc,1,0,2017,30.0,13.5,152.34,a
135,p5,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.0,152.34,a
136,p10,0,a,1.0,10.99,1.0,0,hc,1,0,2017,0.0,19.0,152.34,a
137,p12,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,16.0,152.34,a
138,p5,0,de,1.0,10.99,0.0,0,gc,1,0,2017,3.0,21.0,152.34,a
139,p2,0,f,1.0,10.99,0.0,0,hc,1,0,2017,0.0,12.5,152.34,a
140,p1,0,d,1.0,10.99,0.0,0,hc,1,1,2017,0.25,17.5,152.34,a
141,p8,0,de,1.0,10.99,0.0,1,gc,1,1,2017,0.0,13.0,152.34,a
142,p3,0,de,1.0,10.99,0.0,0,yc,1,1,2017,0.0,26.0,152.34,a
143,p1,1,ps,1.0,10.99,0.0,0,he,1,1,2017,0.0,16.0,152.34,a
144,p11,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a
145,p3,0,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.25,20.5,152.34,a
146,p3,0,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,26.5,152.34,a
